college_name,alias,abbreviation,transcripts,mid_year,letter_of_rec_required,letter_of_rec_total,people_for_letters,sat,sat_essay,act_essay,self_report,subject_tests,essays,supplemental_essays,acceptance_rate,population,national_ranking,tuition_normal,tuition_oos,early_decision,early_action,regular_decision,scholarship_date,interview,app_fee,app_site,common_app,coalition_app,college_logo,school_type,state,college_description,college_campus
New York University,NYU,NYU,Required,Required,1,2,Teacher,Required,Optional,Optional,Not Allowed,Recommended,Common Application,,16,26733,29,50684,50684,1604188860,-1,1609459260,-1,op,80,Common Application,y,n,https://pbs.twimg.com/profile_images/1145689641191911427/nC7mekeC_400x400.png,Private,NY,"New York University (NYU) is a private research university based in New York City. Founded in 1831 by Albert Gallatin as an institution to ""admit based upon merit rather than birthright or social class"", NYU's historical campus is in Greenwich Village. NYU is the largest independent research university in the United States. ",https://i.ibb.co/P556dBj/10NYU.jpg
Boston University,Boston University,BU,Required,Required,2,2,Counselor/Teacher,Required,Optional,Optional,Not Allowed,Optional,Common Application,,22,18515,40,56854,56854,1604188860,1604188860,1609459260,-1,op,80,Common Application / Coalition Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/1200px-Boston_University_Terriers_logo.svg.png,Private,MA,"Boston University (BU) is a private research university in Boston, Massachusetts. The university is now nonsectarian, but was originally affiliated with the United Methodist Church.The university has over 3,900 faculty members and nearly 33,000 students, and offers bachelor's degrees, master's degrees, doctorates, and medical, dental, business, and law degrees through 18 schools and colleges on two urban campuses.",https://i.ibb.co/tpNCwTB/11BU.jpg
California State University - Long Beach,CSU Long Beach,CSULB,Not Required,Not Required,0,0,,Required,Optional,Optional,Not Allowed,Optional,none,,31.2,31447,10000,6798,17094,-1,-1,1606694460,-1,none,55,Cal State Apply,n,n,https://collegiatewaterpolo.org/wp-content/uploads/2017/08/Cal-State-Long-Beach-W.png,Public,CA,"California State University, Long Beach (CSULB, Long Beach State, Cal State Long Beach, LBSU, or The Beach) is a public university in Long Beach, California. The 322-acre campus is the third largest[7] of the 23-school California State University system (CSU)[11] and one of the largest universities in the state of California by enrollment.",https://i.ibb.co/SxYJWwr/12CSULB.jpg
Clemson University,Clemson,,Required,Not Required,0,0,,Required,Optional,Optional,Not Allowed,Optional,Common Application,,47,19669,70,15120,38112,-1,-1,1606780860,-1,none,70,Common Application / Clemson Portal,y,n,https://www.pinclipart.com/picdir/big/357-3573593_official-ncaa-clemson-tigers-clemson-tigers-logo-clipart.png,Public,SC,"Clemson University is a public, land-grant research university in Clemson, South Carolina. Founded in 1889, Clemson is the second-largest university in student population in South Carolina. Clemson University is classified among ""R1: Doctoral Universities – Very high research activity.""",https://i.ibb.co/8KzPbv2/13CU.jpg
Case Western Reserve University,Case Western,CWRU,Required,Not Required,3,3,Counselor / Teacher / Teacher,Optional,Optional,Optional,Allowed,Optional,Common Application / Coalition,,33,10677,40,50904,50904,1604188801,1604188860,1610668860,1606780860,op,70,Common Application / Coalition Application,y,y,https://upload.wikimedia.org/wikipedia/en/7/72/Case_Western_Reserve_University_Spartans_logo_mascot.png,Private,OH,"Case Western Reserve University (CWRU) is a private research university in Cleveland, Ohio. It was created in 1967 through the federation of two longstanding contiguous institutions: Western Reserve University, founded in 1826 and named for its location in the Connecticut Western Reserve, and Case Institute of Technology, founded in 1880 through the endowment of Leonard Case, Jr. Time magazine described the merger as the creation of ""Cleveland's Big-Leaguer"" university.

",https://i.ibb.co/Lr12jjG/14CWRU.jpg
Columbia University,Columbia,,Required,Required,2,2,Counselor / Teacher,Required,Required,Optional,Allowed,Optional,1 / 1. Common/Coalition (650),,5.3,6202,3,61850,61850,1604188860,-1,1609459260,-1,y,85,Common Application / Coalition Application,y,y,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fivycoach.com%2Fcontent%2Fuploads%2F2014%2F12%2FColumbia-University-Basketball.png&f=1&nofb=1,Private,NY,"Columbia University  is a private Ivy League research university in New York City. Established in 1754 on the grounds of Trinity Church in Manhattan, Columbia is the oldest institution of higher education in New York and the fifth-oldest institution of higher learning in the United States. It is one of nine colonial colleges founded prior to the Declaration of Independence, seven of which belong to the Ivy League.",https://i.ibb.co/QdVNTfX/15CU.jpg
Rutgers University - New Brunswick,Rutgers,,Required,Required,0,0,na,Required,Required,Optional,Not Allowed,Optional,"1 / 1. Tell a story from your life, describing an experience that either demonstrates your character or helped to shape it. (3800 c) / 2. Describe a time you made a meaningful contribution to others in which the greater good was your focus. Discuss the challenges and rewards of making your contribution. (3800 c) / 3. Has there been a time when you’ve had a long-cherished or accepted belief challenged? How did you respond? How did the challenge affect your beliefs? (3800 c) / 4. What is the hardest part of being a teenager now? What’s the best part? What advice would you give a younger sibling or friend (assuming they would listen to you)? (3800 c) / 5. Submit an essay on the topic of your choice (3800 c)",,60,36039,62,12230,28036,-1,1604188860,1606780860,-1,n,70,Coalition Application  / Rutgers Apply,n,y,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Falphasigmaphi.org%2FWebsites%2Falphasigmaphihq%2Fimages%2FSchool_Logos%2FRutgers_Scarlet_Knights.png&f=1&nofb=1,Public,NJ,"Rutgers was originally chartered as Queen's College on November 10, 1766. It is the eighth-oldest college in the United States and one of the nine colonial colleges chartered before the American Revolution. The college was renamed Rutgers College in 1825 in honor of Colonel Henry Rutgers. For most of its existence, Rutgers was a private liberal arts college but it evolved into a coeducational public research university after being designated ""The State University of New Jersey"" by the New Jersey Legislature in laws enacted in 1945 and 1956.",https://i.ibb.co/pLZNwkV/16RU.jpg
Northern Arizona University,Northern Arizona,NAU,Required,Not Required,0,0,na,Required,Required,Optional,Not Allowed,Optional,na,,80.8,30736,10000,11896,26516,-1,-1,1610668860,-1,n,25,Northern Arizona University Personal Advantage Application,n,n,https://i.pinimg.com/originals/72/05/fd/7205fd42cb59499e0f729df4836cd70f.png,Public,AZ,"Northern Arizona University (NAU) is a public research university with its main campus in Flagstaff, Arizona. Governed by the Arizona Board of Regents and accredited by the Higher Learning Commission, the university offers 158 baccalaureate and graduate degree programs. NAU also participates in the Western Undergraduate Exchange Program, which offers lower tuition rates for students from the Western United States.",https://i.ibb.co/BTLTn8c/17NAU.jpg
San Francisco State University,San Francisco State,SFSU,Not Required,Not Required,0,0,na,Required,Optional,Optional,Not Allowed,Optional,na,,71.8,29586,10000,7270,19140,-1,-1,1606694460,-1,n,70,Cal State Apply,n,n,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274833/20190414010410_836_mascot1280Near.png,Public,CA,"San Francisco State University (commonly referred to as San Francisco State, SF State and SFSU) is a public university in San Francisco. As part of the 23-campus California State University system, the university offers 118 different bachelor's degrees, 94 master's degrees, and 5 doctoral degrees along with 26 teaching credentials among six academic colleges. The 141 acre campus is located in the southwest part of the city, less than two miles from the Pacific coast.",https://i.ibb.co/HBkXBWP/18SFSU.jpg
University of Connecticut,UConn,UConn,Required,Not Required,0,2,Counselor / Teacher,Optional,Optional,Optional,Not Allowed,Optional,Common Application / Coalition,,48.8,19133,64,14406,37074,-1,-1,1610668860,1606780860,n,80,Common Application / Coalition Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/1200px-Connecticut_Huskies_logo.svg.png,Public,CT,"The University of Connecticut (UConn) is a public research university in Storrs, Connecticut. It was founded in 1881. UConn is one of the founding institutions of the Hartford, Connecticut/Springfield, Massachusetts regional economic and cultural partnership alliance known as New England's Knowledge Corridor. UConn was the second U.S. university invited into Universitas 21, an elite international network of 24 research-intensive universities, who work together to foster global citizenship.
",https://i.ibb.co/mNz9bNp/19UC.jpg
Liberty University,Liberty University,,Required,Not Required,0,0,na,Required,Optional,Optional,Allowed,Optional,1 / 1. How will your personal faith and beliefs contribute to Liberty's mission to develop Christ-centered leaders? (400),,30,60084,10000,23800,23800,-1,-1,1609372860,-1,n,50,Liberty University Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Liberty_Flames_logo.svg/1200px-Liberty_Flames_logo.svg.png,Private,VA,"Liberty University (LU) is a private evangelical Christian university in Lynchburg, Virginia. It is one of the largest evangelical Christian universities in the world and one of the largest private non-profit universities in the United States, measured by student enrollment. As of 2017, the university enrolls more than 15,000 students at its Lynchburg campus and more than 94,000 students in online courses for a total of about 110,000.",https://i.ibb.co/Tbd81Lg/20LU.jpg
"California State University, Los Angeles",CSU Los Angeles,CSULA,Not Required,Not Required,0,0,na,Required,Optional,Optional,Not Allowed,Optional,na,,41.5,24002,10000,6744,16248,-1,-1,1606694460,-1,n,70,Cal State Apply,n,n,https://www.calstatela.edu/sites/default/files/users/u204986/logo.png,Public,CA,"California State University, Los Angeles (Cal State LA) is a public university in Los Angeles, California. It is part of the 23-campus California State University (CSU) system. Cal State LA offers 129 bachelor's degrees, 112 master's degrees, and four doctoral degrees. The 175-acre (71 ha) hilltop campus core is home to the nation's first Charter College of Education, a NASA-funded SPACE program, Rockefeller-supported humanities center, and a National Science Foundation-funded environmental research center. Cal State LA is home to the Luckman Fine Arts Complex.
",https://i.ibb.co/xHHpx9Y/21CSULA.jpg
Northwestern University,Northwestern,,Required,Required,2,2,Counselor / Teacher,Required,Optional,Optional,Allowed,Recommended,Common Application / Coalition,"1 / Help us understand what aspects of Northwestern appeal most to you, and how you'll make use of specific resources and opportunities here. (300)",9.1,8327,9,56232,56232,1604188860,-1,1609545660,-1,n,75,Common Application / Coalition Application,y,y,https://i.pinimg.com/originals/5f/14/da/5f14dad172312fc78321110a4816cfcd.png,Private,IL,"Northwestern University (NU) is a private research university in Evanston, Illinois. It was founded in 1851 by nine men whose goal was to establish a university that would serve the Northwest Territory. The university is a founding member of the Big Ten Conference and remains the only private university in the conference.Valued at $11.1 billion, Northwestern currently possesses the eighth largest university endowment in the United States.",https://i.ibb.co/J3c7xht/22NU.jpg
Stony Brook University,Stony Brook,,Required,Not Required,1,1,both,Required,Optional,Optional,Not Allowed,Optional,Common Application / Coalition,,42.2,17522,91,10076,28528,-1,-1,1610668860,-1,n,50,Common Application / Coalition Application  / SUNY Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Stony_Brook_U_logo_vertical.svg/1200px-Stony_Brook_U_logo_vertical.svg.png,Public,NY,"The State University of New York at Stony Brook, commonly referred to as Stony Brook University (SBU) or SUNY Stony Brook is a public sea-grant and space-grant research university in Stony Brook, New York. It is one of four university centers of the State University of New York system. It is classified among ""R1: Doctoral Universities – Very high research activity.""",https://i.ibb.co/gmY7r3Y/23SBU.jpg
University of Miami,U Of Miami,,Required,Required,2,3,Counselor/Teacher/Teacher,Required,Optional,Optional,Not Allowed,Optional,1 / 1. Common App Essay Prompt (650),,38,11117,57,52080,52080,1604188860,1604188860,1609459260,-1,none,70,Common Application,y,n,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/1200px-Miami_Hurricanes_logo.svg.png,Private,FL,"The University of Miami (informally referred to as UM, UMiami, U of M or The U)[6][7] is a private research university in Coral Gables, Florida. It is composed of 12 separate colleges/schools, including the Leonard M. Miller School of Medicine in Miami's Health District, a law school on the main campus, and the Rosenstiel School of Marine and Atmospheric Science focused on the study of oceanography and atmospheric sciences on Virginia Key, with research facilities at the Richmond Facility in southern Miami-Dade County.",https://i.ibb.co/3B2gtD1/24UM.jpg
Vanderbilt University,Vanderbilt,,Required,Required,3,4,Counselor/Teacher/Teacher/Any,Required,Optional,Optional,Not Allowed,Optional,1 / 1. Common/Coalition Essay Prompt (650),1 / Please briefly elaborate on one of your extracurricular activities or work experiences (200-400),9.1,6886,15,50800,50800,1604188860,-1,1609459260,1606780860,op,50,Common Application/ Coalition Application,y,y,https://www.pngkey.com/png/full/485-4853064_v04a-vanderbilt-u-gold-gold-vanderbilt-university-logo.png,Private,TN,"Vanderbilt University (informally Vandy or VU) is a private research university in Nashville, Tennessee. Founded in 1873, it was named in honor of shipping and rail magnate Cornelius Vanderbilt, who provided the school its initial $1-million endowment; Vanderbilt hoped that his gift and the greater work of the university would help to heal the sectional wounds inflicted by the Civil War.",https://i.ibb.co/DwkjXdn/25VU.jpg
St John's University-New York,St. John's,,Required,Required,0,0,n/a,Optional,Optional,Optional,Not Allowed,Optional,Common Application,,67.7,16766,179,39960,39960,1605398460,1606780860,1612137660,1611100860,n,0,Common Application / St. John's Application,y,n,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/1200px-St._John%27s_Red_Storm_logo.svg.png,Private,NY,"St. John's University is a private Roman Catholic university in New York City. Founded and run by the Congregation of the Mission (C.M., the Vincentian Fathers) in 1870, the school was originally located in the neighborhood of Bedford–Stuyvesant in the borough of Brooklyn.In the 1950s, the school was relocated to its current site at Utopia Parkway in Hillcrest, Queens. St. John's also has campuses in Staten Island and Manhattan in New York City and overseas in Rome, Italy.",https://i.ibb.co/wW0WgLp/26SJU.jpg
