college_name,alias,abbreviation,transcripts,mid_year,letter_of_rec_required,letter_of_rec_total,people_for_letters,sat,sat_essay,act_essay,self_report,subject_tests,essays,supplemental_essays,acceptance_rate,population,national_ranking,tuition_normal,tuition_oos,early_decision,early_action,regular_decision,scholarship_date,interview,app_fee,app_site,common_app,coalition_app,college_logo,school_type,state
New York University,NYU,NYU,y,y,1,2,Teacher,req,op,op,n,recommend,Common Application,"We would like to know more about your interest in NYU. We are particularly interested in knowing what motivated you to apply to NYU and more specifically, why you have applied or expressed interest in a particular campus, school, college, program, and/or area of study? If you have applied to more than one, please tell us why you are interested in each of the campuses, schools, colleges, or programs to which you have applied. We want to understand – Why NYU? (400)
",16,26733,29,50684,50684,0,-1,1609459260,-1,op,80,Common Application,y,n,https://i7.pngguru.com/preview/497/686/416/new-york-university-york-college-city-university-of-new-york-yeshiva-university-university-of-rochester-nyu-violets-men-s-basketball-student.jpg,Private,NY
Boston University,Boston University,BU,y,y,2,2,Counselor/Teacher,req,op,op,n,op,Common Application,What about being a student at Boston University most excites you? (250),22,18515,40,56854,56854,0,1604188860,1609459260,-1,op,80,Common Application / Coalition,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/1200px-Boston_University_Terriers_logo.svg.png,Private,MA
California State University - Long Beach,CSU Long Beach,CSULB,n,n,0,0,,req,op,op,n,op,none,,31.2,31447,10000,6798,17094,-1,-1,1606694460,-1,none,55,CSU Application,n,n,https://collegiatewaterpolo.org/wp-content/uploads/2017/08/Cal-State-Long-Beach-W.png,Public,CA
Clemson University,Clemson,,y,n,0,0,,req,op,op,n,op,Common Application,,47,19669,70,15120,38112,-1,-1,1606780860,-1,none,70,Common Application / Clemson Portal,y,n,https://www.pinclipart.com/picdir/big/357-3573593_official-ncaa-clemson-tigers-clemson-tigers-logo-clipart.png,Public,SC
Case Western Reserve University,Case Western,CWRU,y,n,3,3,Counselor / Teacher / Teacher,op,op,op,y,op,Common Application / Coalition ,,33,10677,40,50904,-1,0,1604188860,1610668860,1606780860,op,70,Common Application / Coalition,y,y,https://upload.wikimedia.org/wikipedia/en/7/72/Case_Western_Reserve_University_Spartans_logo_mascot.png,Private,OH
Columbia University,Columbia,,y,y,2,2,Counselor / Teacher,req,req,op,y,op,1 / 1. Common/Coalition (650),"7 / 1. The titles of the required readings from courses during the school year or summer that you enjoyed most in the past year? (150) / 2. The titles of books read for pleasure that you enjoyed most in the past year? (150) / 3. The titles of print or electronic publications you read regularly? (150) / 4. The titles of the films, concerts, shows, exhibits, lectures and other entertainments you enjoyed most in the past year? (150) / 5. Please tell us what you value most about Columbia and why. (300) / 26 If you are applying to Columbia College, tell us what from your current and past experiences (either academic or personal) attracts you specifically to the field or fields of study that you noted in the Member Questions section. If you are currently undecided, please write about any field or fields in which you may have an interest at this time. (300) / 7. If you are applying to The Fu Foundation School of Engineering and Applied Science, please tell us what from your current and past experiences (either academic or personal) attracts you specifically to the field or fields of study that you noted in the Member Questions section. (300)",5.3,6202,3,61850,61850,1604188860,-1,1609459260,-1,y,85,Common Application / Coalition ,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Columbia_Lions_logo.svg/1200px-Columbia_Lions_logo.svg.png,Private,NY
Rutgers University - New Brunswick,Rutgers,,y,y,0,0,na,req,req,op,n,na,"1 / 1. Tell a story from your life, describing an experience that either demonstrates your character or helped to shape it. (3800 c) / 2. Describe a time you made a meaningful contribution to others in which the greater good was your focus. Discuss the challenges and rewards of making your contribution. (3800 c) / 3. Has there been a time when you’ve had a long-cherished or accepted belief challenged? How did you respond? How did the challenge affect your beliefs? (3800 c) / 4. What is the hardest part of being a teenager now? What’s the best part? What advice would you give a younger sibling or friend (assuming they would listen to you)? (3800 c) / 5. Submit an essay on the topic of your choice (3800 c)",na,60,36039,62,12230,28036,-1,1604188860,1606780860,-1,n,70,Coalition  / Rutgers Apply,n,y,https://i7.pngflow.com/pngimage/779/329/png-rutgers-university-new-brunswick-wincraft-11-x-17-reusable-window-cling-rutgers-scarlet-knights-women-s-basketball-aot-logo-clipart.png,Public,NJ
Northern Arizona University,Northern Arizona,NAU,y,n,0,0,na,req,req,op,n,na,na,na,80.8,30736,10000,11896,26516,-1,-1,1610668860,-1,n,25,Northern Arizona University Personal Advantage Application,n,n,https://i.pinimg.com/originals/72/05/fd/7205fd42cb59499e0f729df4836cd70f.png,Public,AZ
San Francisco State University,San Francisco State,SFSU,n,n,0,0,na,req,op,op,n,na,na,na,71.8,29586,10000,7270,19140,-1,-1,1606694460,-1,n,70,CSU Application,n,n,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274833/20190414010410_836_mascot1280Near.png,Public,CA
University of Connecticut,UConn,UConn,y,n,0,2,Counselor / Teacher,rec,op,op,n,na,Common Application / Coalition ,na,48.8,19133,64,14406,37074,NULL,NULL,1610668860,1606780860,n,80,Common Application / Coalition ,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/1200px-Connecticut_Huskies_logo.svg.png,Public,CT
Liberty University,Liberty University,,y,n,0,0,na,req,op,op,y,na,1 / 1. How will your personal faith and beliefs contribute to Liberty's mission to develop Christ-centered leaders? (400),na,30,60084,10000,23800,23800,-1,-1,1609372860,-1,n,50,Liberty University Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Liberty_Flames_logo.svg/1200px-Liberty_Flames_logo.svg.png,Private,VA
"California State University, Los Angeles",CSU Los Angeles,CSULA,n,n,0,0,na,req,op,op,n,na,na,na,41.5,24002,10000,6744,16248,-1,-1,1606694460,-1,n,70,CSU Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/CSU%2C_Los_Angeles_seal.svg/1200px-CSU%2C_Los_Angeles_seal.svg.png,Public,CA
Northwestern University,Northwestern,,y,y,2,2,Counselor / Teacher,req,op,op,y,recommend,Common Application / Coalition ,"1 / 1. Help us understand what aspects of Northwestern appeal most to you, and how you'll make use of specific resources and opportunities here. (300)",9.1,8327,9,56232,56232,1604188860,-1,1609545660,-1,n,75,Common Application / Coalition ,y,y,https://i.pinimg.com/originals/5f/14/da/5f14dad172312fc78321110a4816cfcd.png,Private,IL
Stony Brook University,Stony Brook,,y,n,1,1,both,req,op,op,n,na,Common Application / Coalition ,,42.2,17522,91,10076,28528,-1,-1,1610668860,-1,n,50,Common Application / Coalition  / SUNY Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Stony_Brook_U_logo_vertical.svg/1200px-Stony_Brook_U_logo_vertical.svg.png,Public,NY
University of Miami,U Of Miami,,y,y,2,3,Counselor/Teacher/Teacher,req,op,op,n,op,1 / 1. Common App Essay Prompt (650),na,38,11117,57,52080,52080,0,1604188860,1609459260,0,none,70,Common Application,y,n,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/1200px-Miami_Hurricanes_logo.svg.png,Private,FL
Vanderbilt University,Vanderbilt,,y,y,3,4,Counselor/Teacher/Teacher/Any,req,op,op,n,op,1 / 1. Common/Coalition Essay Prompt (650),1 / 1. Please briefly elaborate on one of your extracurricular activities or work experiences (200-400),9.1,6886,15,50800,50800,0,-1,1609459260,1606780860,op,50,Common Application/ Coalition ,y,y,https://www.pngkey.com/png/full/485-4853064_v04a-vanderbilt-u-gold-gold-vanderbilt-university-logo.png,Private,TN
St John's University-New York,St. John's,,y,y,0,0,n/a,op,n/a,n/a,n,n/a,Common Application,n/a,67.7,16766,179,39960,39960,1605398460,1606780860,1612137660,1611100860,n,0,Common Application / St. John's Application,y,n,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/1200px-St._John%27s_Red_Storm_logo.svg.png,Private,NY
Brown University,Brown,,y,y,3,5,Counselor/Teacher/Teacher/Teacher/Teacher,req,op,op,n,recommend,1 / 1. Common App Essay Prompt (650),"3 / 1. Brown's Open Curriculum allows students to explore broadly while also diving deeply into their academic pursuits.  Tell us about an academic interest (or interests) that excites you, and how you might use the Open Curriculum to pursue it. (250 words) / 2. At Brown, you will learn as much from your peers outside the classroom as in academic spaces. How will you contribute to the Brown community? (250 words) / 3. Tell us about a place or community you call home. How has it shaped your perspective? (250 words).",6.6,7043,14,57112,57112,1604188860,-1,1609804860,-1,req,75,Common Application,y,n,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Brown_University_coat_of_arms.svg/1200px-Brown_University_coat_of_arms.svg.png,Private,RI
University of Virginia- Main Campus,U Of Virginia,UVA,y,y,2,3,Counselor/Teacher/Teacher,req,op,op,y,op,1 / 1. Common App Essay Prompt (650),,26.4,16777,28,17891,50920,1602720060,1604188860,1609459260,-1,none,70,Common Application,y,n,https://cdn.freebiesupply.com/logos/large/2x/university-of-virginia-2-logo-png-transparent.png,Public,VA
Binghamton University,Binghamton,,y,n,1,2,Counselor/Teacher,req,op,op,n,op,1 / 1. Common App Essay Prompt (650),1 / 1. Please provide additional information that will help us better understand your academic performance. You may also use this space to explain any chronological gaps in your academic history (e.g. a period of time after high school graduation before applying to college). (250).,40,14021,79,7070,24660,NULL,1604188860,1610668860,-1,none,50,Common Application/ Coalition / SUNY Application,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Binghamton_Bearcats_logo.svg/1200px-Binghamton_Bearcats_logo.svg.png,Public ,NY
Tulane University of Louisiana,Tulane,,y,n,1,7,Counselor/Teacher/Teacher/Teacher/any,req,op,op,y,op,1 / 1. Common App Essay Prompt (650),1 / 1. Please describe why you are interested in attending Tulane University (optional) (50-800). / 2. Please briefly elaborate on one of your extracurricular activities or work experiences. (250).,13.2,6773,40,56800,56800,132293,1610668860,1610668860,-1,op,0,Common Application/ Tulane Application,y,n,https://i0.wp.com/fanapeel.com/wp-content/uploads/logo_-tulane-university-green-wave-green-t-wave.png?ssl=1,Private,LA
Duke University,Duke,,y,y,3,5,Counselor/Teacher/Teacher/Teacher/any,req,op,op,n,op,1 / 1. Common App Essay Prompt (650),"3 / 2. (Optional) Duke University seeks a talented, engaged student body that embodies the wide range of human experience; we believe that the diversity of our students makes our community stronger. If you'd like to share a perspective you bring or experiences you've had to help us understand you better-perhaps related to a community you belong to or your family or cultural background-we encourage you to do so. Real people are reading your application, and we want to do our best to understand and appreciate the real people applying to Duke. (250). / 3. (Optional) Duke's commitment to diversity and inclusion includes sexual orientation, gender identity and gender expression. If you would like to share with us more about how you identify as LGBTQIA+, and have not done so elsewhere in the application, we invite you to do so here.",7.8,6682,10,58198,58198,1604188860,-1,1609545660,1612137660,op,85,Common Application/ Coalition ,y,y,https://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,Private,NC
San Jose State University,San Jose State,SJSU,n,n,0,0,none,req,op,op,n,op,none,none,55,27327,10000,7852,19446,-1,-1,1606694460,-1,none,70,CSU Application,n,n,https://1000logos.net/wp-content/uploads/2019/09/San-Jose-State-Spartans-Logo.png,Public,CA
University of Chicago,UChicago,,y,y,3,7,Counselor/Teacher/Teacher/Teacher/any,op,op,op,y,op,1 / 1. Common App Essay Prompt (650),"2 / 1. How does the University of Chicago, as you know it now, satisfy your desire for a particular kind of learning, community, and future? Please address with some specificity your own wishes and how they relate to UChicago. / 2a. Cats have nine lives, Pac-man has 3 lives, and radioactive isotopes have half-lives. How many lives does something else-conceptual or actual-have, and why? / 2b. If there’s a limited amount of matter in the universe, how can Olive Garden (along with other restaurants and their concepts of food infinity) offer truly unlimited soup, salad, and breadsticks? Explain this using any method of analysis you wish—physics, biology, economics, history, theology… the options, as you can tell, are endless. / 2c. A hot dog might be a sandwich, and cereal might be a soup, but is a ______ a ______? / 2d. “Fiction reveals truth that reality obscures.” – Jessamyn West / 2e. UChicago has international campus centers around the world, but we don’t have any interplanetary, interstellar, or interdimensional campuses… yet! Propose a spot in time or space, in this or any universe, for a new UChicago campus. What types of courses would be taught at this site? What cultural experiences await students who study there? / 2f. “Don’t be afraid to pick past prompts! I liked some of the ones from previous years more than those made newly available for my year. Also, don’t worry about the ‘correct’ way to interpret a question. If there exists a correct way to interpret the prompt I chose, it certainly was not my answer.”",5.9,6306,6,57642,57642,0,1604188860,1609545660,-1,op,75,Common Application/ Coalition ,y,y,https://latimeshighschool.files.wordpress.com/2015/08/university_of_chicago_modern_etched_seal_1-svg.png,Private,IL
Yale University,Yale,,y,y,3,3,Counselor/Teacher/Teacher,req,op,op,y,recommend,1 / 1. Common App Essay Prompt (650),,6.3,5964,3,57700,57700,NULL,1604188860,1609545660,-1,op,80,Common Application/ Coalition ,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Yale_Bulldogs_logo.svg/1200px-Yale_Bulldogs_logo.svg.png,Private,CT
Fordham University,Fordham,,n,n,1,1,Counselor/Teacher,req,op,op,n,op,Common Essay prompts,none,46,9645,74,54093,54093,1604188860,1604188860,1610668860,1612137660,no,70,Common Application,y,n,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Fordham_Rams_logo.svg/1200px-Fordham_Rams_logo.svg.png,Private,NY
California State University-Fullerton,CSU Fullerton,CSUF,n,n,0,0,none,req,op,op,n,op,none,none,43,34751,10000,6922,16426,-1,-1,1606694460,-1,no,70,CSU Application ,n,n,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/CSUF_Titans_Logo.svg/1200px-CSUF_Titans_Logo.svg.png,Public,CA
Stanford University,Stanford,,y,y,3,4,Counselor / Teacher / Teacher / Any,req,op,op,y,op,Common Application or Coalition,"3 / The Stanford community is deeply curious and driven to learn in and out of the classroom. Reflect on an idea or experience that makes you genuinely excited about learning (100-250) /Virtually all of Stanford's undergraduates live on campus. Write a note to your future roommate that reveals something about you or that will help your roommate—and us—get to know you better. (100-250) / Tell us about something that is meaningful to you, and why? (100-250)",3.9,7087,6,53529,53529,-1,1604188860,1609545660,1619740860,yes,90,Common Application / Coalition ,y,y,https://identity.stanford.edu/img/block-s-2color.png,Private,CA
University of Washington-Seattle Campus,UW Seattle,UW,n,n,0,0,none,req,op,op,n,op,Coalition,"2/ Our families and communities often define us and our individual worlds. Community might refer to your cultural group, extended family, religious group, neighborhood or school, sports team or club, co-workers, etc. Describe the world you come from and how you, as a product of it, might add to the diversity of the UW. (300) / Tell a story from your life, describing an experience that either demonstrates your character or helped to shape it. (500)",49,32099,62,11465,38796,-1,-1,1605398460,1610668860,no,80,Coalition ,n,y,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,Public,WA
University of Massachusetts-Amherst,Umass Amherst,Umass,n,y,0,1,Any,req,op,op,n,op,Common Application,2 / Please tell us why you want to attend UMass Amherst. (100) / Please tell us why you chose the major you did. (100),60,23515,64,16389,35710,-1,1604448060,1610668860,1602979260,yes,80,Common Application,y,n,https://i.pinimg.com/originals/df/21/78/df2178f43d9c1bf3fb60b298e227583c.png,Public,MA
Harvard University,Harvard,,n,y,0,2,Teacher,req,op,op,y,recommend,,"1 / Unusual circumstances in your life / Travel, living, or working experiences in your own or other communities / What you would want your future college roommate to know about you / An intellectual experience (course, project, book, discussion, paper, poetry, or research topic in engineering, mathematics, science or other modes of inquiry) that has meant the most to you / How you hope to use your college education / A list of books you have read during the past twelve months / The Harvard College Honor code declares that we ""hold honesty as the foundation of our community."" As you consider entering this community that is committed to honesty, please reflect on a time when you or someone you observed had to make a choice about whether to act with integrity and honesty. / The mission of Harvard College is to educate our students to be citizens and citizen-leaders for society. What would you do to contribute to the lives of your classmates in advancing this mission? / Each year a substantial number of students admitted to Harvard defer their admission for one year or take time off during college. If you decided in the future to choose either option, what would you like to do? / Harvard has long recognized the importance of student body diversity of all kinds. We welcome you to write about distinctive aspects of your background, personal development or the intellectual interests you might bring to your Harvard classmates.",5,6788,2,51925,51925,-1,1604188860,1609459260,-1,yes,75,Common Application / Coalition  / Universal College Application Harvard supplement,y,y,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Harvard_shield_wreath.svg/1200px-Harvard_shield_wreath.svg.png,Private,MA
University of Pennsylvania,UPenn,Penn,y,y,2,3,Teacher / Teacher / Any,req,op,op,y,recommend,Common Application or Coalition,"2 / How did you discover your intellectual and academic interests, and how will you explore them at the University of Pennsylvania? Please respond considering the specific undergraduate school you have selected. (300-450 words) / At Penn, learning and growth happen outside of the classroom, too. How will you explore the community at Penn? Consider how this community will help shape your perspective and identity, and how your identity and perspective will help shape this community. (150-200 words)",8,10183,6,57770,57770,1604188860,-1,1609804860,-1,yes,75,Common Application / Coalition ,y,y,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/1200px-UPenn_shield_with_banner.svg.png,Private,PA
The University of Alabama,Alabama,bama,n,n,0,0,none,req,op,op,y,op,n/a,n/a,59,33028,153,10780,30250,-1,-1,1612137660,1607990460,no,40,Alabama Website,n,n,https://www.vhv.rs/dpng/d/429-4295456_alabama-crimson-tide-logo-png-transparent-alabama-crimson.png,Public,AL
University of Illinois at Urbana-Champaign,UIUC,UIUC,n,n,0,0,none,req,op,op,y,op,Coalition,"2 / Explain your interest in the major you selected and describe how you have recently explored or developed this interest inside and/or outside the classroom. You may also explain how this major relates to your future career goals. If you're applying to the Division of General Studies, explain your academic interests and strengths or your future career goals. You may include any majors or areas of study you're currently considering (300-400) / If you select a second-choice major other than the Division of General Studies on your application, write a second essay explaining your interest in this major, too. (300-400).",66.3,33915,48,16210,33352,-1,1604188860,1609804860,1609804860,no,50,Coalition  / myIllini,n,y,https://i.pinimg.com/originals/5d/30/21/5d3021d6a64b603007de3123a7f27930.png,Public,IL
